https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XMR
1706400000000,2024-01-28 00:00:00,XMR/USD,160.32,162.41,158.79,160.89,97854.9881784102,608.21050518
1706313600000,2024-01-27 00:00:00,XMR/USD,159.38,161.98,157.6,160.54,63197.8369766996,393.65788574
1706227200000,2024-01-26 00:00:00,XMR/USD,157.36,162.38,156.18,159.37,205095.46205306918,1286.91386116
1706140800000,2024-01-25 00:00:00,XMR/USD,152.65,157.97,152.11,157.71,120540.0926830485,764.31483535
1706054400000,2024-01-24 00:00:00,XMR/USD,150.5,155.69,149.22,152.77,147977.25856722592,968.62773167
1705968000000,2024-01-23 00:00:00,XMR/USD,150.69,154.97,146.63,150.46,153458.2508407342,1019.9272287699999
1705881600000,2024-01-22 00:00:00,XMR/USD,158.2,160.3,149.75,150.76,246015.78331550717,1631.83724672
1705795200000,2024-01-21 00:00:00,XMR/USD,157.05,163.49,155.51,157.57,148997.23624498368,945.59393441
1705708800000,2024-01-20 00:00:00,XMR/USD,158.25,159.79,156.14,157.05,178929.814248198,1139.31750556
1705622400000,2024-01-19 00:00:00,XMR/USD,153.21,158.97,150.2,158.56,193219.05221730238,1218.58635354
1705536000000,2024-01-18 00:00:00,XMR/USD,158.1,164.27,151.98,153.21,326612.2373750325,2131.79451325
1705449600000,2024-01-17 00:00:00,XMR/USD,157.57,160.52,155.7,157.71,302284.7374243998,1916.71255738
1705363200000,2024-01-16 00:00:00,XMR/USD,157.1,160.01,153.87,157.36,120395.87527651041,765.09834314
1705276800000,2024-01-15 00:00:00,XMR/USD,154.07,158.56,153.13,157.09,235365.28286513392,1498.28304071
1705190400000,2024-01-14 00:00:00,XMR/USD,155.81,159.77,152.97,154.2,89850.58696342199,582.68863141
1705104000000,2024-01-13 00:00:00,XMR/USD,151.93,156.38,148.53,155.72,399155.11565337755,2563.28741108
1705017600000,2024-01-12 00:00:00,XMR/USD,152.67,161.77,149.16,151.94,174495.2644169058,1148.44849557
1704931200000,2024-01-11 00:00:00,XMR/USD,148.56,154.42,148.26,152.56,380731.5328473912,2495.61833277
1704844800000,2024-01-10 00:00:00,XMR/USD,144.19,151.49,143.71,148.87,264477.1984949052,1776.56477796
1704758400000,2024-01-09 00:00:00,XMR/USD,147.36,148.61,142.81,144.25,200394.323310825,1389.2154129
1704672000000,2024-01-08 00:00:00,XMR/USD,146.01,154.77,143.02,148.05,1108592.284673349,7487.95869418
1704585600000,2024-01-07 00:00:00,XMR/USD,152.68,155.13,144.32,146.0,247202.19381038,1693.16571103
1704499200000,2024-01-06 00:00:00,XMR/USD,155.84,158.82,150.0,152.8,663435.167457976,4341.85319017
1704412800000,2024-01-05 00:00:00,XMR/USD,164.82,165.25,153.65,155.83,138272.5060134356,887.32917932
1704326400000,2024-01-04 00:00:00,XMR/USD,154.22,165.09,149.13,164.91,745569.1560642858,4521.06698238
1704240000000,2024-01-03 00:00:00,XMR/USD,167.78,169.84,149.03,153.95,937711.6083589864,6091.01401987
1704153600000,2024-01-02 00:00:00,XMR/USD,170.08,174.23,167.48,167.74,347560.4251736446,2072.01875029
1704067200000,2024-01-01 00:00:00,XMR/USD,165.52,170.08,163.51,170.08,205558.97369188,1208.60167975
1703980800000,2023-12-31 00:00:00,XMR/USD,166.24,168.41,163.95,165.35,135077.470152108,816.91847688
1703894400000,2023-12-30 00:00:00,XMR/USD,166.54,169.18,162.4,166.06,166120.9864383664,1000.36725544
1703808000000,2023-12-29 00:00:00,XMR/USD,175.03,175.73,162.56,166.76,577072.773150896,3460.4987596
1703721600000,2023-12-28 00:00:00,XMR/USD,175.71,180.75,172.61,174.65,150001.839791139,858.87111246
1703635200000,2023-12-27 00:00:00,XMR/USD,174.19,176.62,172.71,175.68,105686.5827557664,601.58573973
1703548800000,2023-12-26 00:00:00,XMR/USD,174.78,176.73,170.68,173.95,118191.40210047798,679.45617764
1703462400000,2023-12-25 00:00:00,XMR/USD,171.5,175.06,170.54,174.81,56402.8836735885,322.65250084999997
1703376000000,2023-12-24 00:00:00,XMR/USD,178.69,179.28,170.96,171.47,114225.5858162354,666.15492982
1703289600000,2023-12-23 00:00:00,XMR/USD,177.07,179.28,174.81,178.71,210481.19231572232,1177.78071913
1703203200000,2023-12-22 00:00:00,XMR/USD,173.84,177.0,171.5,177.0,156749.33282699998,885.5894509999999
1703116800000,2023-12-21 00:00:00,XMR/USD,174.83,176.32,172.52,173.42,129890.375572087,748.99305485
1703030400000,2023-12-20 00:00:00,XMR/USD,171.5,175.0,170.98,174.91,74297.6002585128,424.77617208
1702944000000,2023-12-19 00:00:00,XMR/USD,173.85,175.96,168.09,170.86,69533.18935550281,406.96002198
1702857600000,2023-12-18 00:00:00,XMR/USD,168.18,173.99,166.45,173.86,184956.2270512514,1063.82277149
1702771200000,2023-12-17 00:00:00,XMR/USD,168.55,170.62,167.48,167.78,127747.5303708148,761.39903666
1702684800000,2023-12-16 00:00:00,XMR/USD,168.19,172.39,167.42,169.41,153436.4556959727,905.71073547
1702598400000,2023-12-15 00:00:00,XMR/USD,168.75,172.85,167.87,168.21,190661.4842870304,1133.47294624
1702512000000,2023-12-14 00:00:00,XMR/USD,169.27,169.3,166.17,168.26,245050.38909784518,1456.37934802
1702425600000,2023-12-13 00:00:00,XMR/USD,170.76,170.79,166.95,169.28,340532.9627657312,2011.65502579
1702339200000,2023-12-12 00:00:00,XMR/USD,171.37,173.29,167.85,170.7,196467.339923118,1150.95102474
1702252800000,2023-12-11 00:00:00,XMR/USD,176.27,176.74,160.51,171.85,493273.08515818545,2870.37000383
1702166400000,2023-12-10 00:00:00,XMR/USD,175.74,178.59,174.52,176.21,88134.3233915602,500.16641162
1702080000000,2023-12-09 00:00:00,XMR/USD,174.36,177.1,173.83,174.87,57727.820314823395,330.11848982
1701993600000,2023-12-08 00:00:00,XMR/USD,173.14,175.48,172.18,174.34,125673.5657672786,720.85330829
1701907200000,2023-12-07 00:00:00,XMR/USD,170.74,177.0,170.74,172.81,266235.6294669489,1540.62629169
1701820800000,2023-12-06 00:00:00,XMR/USD,171.13,173.96,170.38,170.52,375809.3572331953,2203.90193076
1701734400000,2023-12-05 00:00:00,XMR/USD,170.43,172.7,167.79,171.15,400136.75835104997,2337.930227
1701648000000,2023-12-04 00:00:00,XMR/USD,172.06,174.27,166.81,170.02,166681.17247436842,980.36214842
1701561600000,2023-12-03 00:00:00,XMR/USD,172.61,173.47,170.74,172.07,32881.8840758307,191.09597301
1701475200000,2023-12-02 00:00:00,XMR/USD,171.51,173.58,170.27,172.68,106348.76655603001,615.87193975
1701388800000,2023-12-01 00:00:00,XMR/USD,169.81,171.87,169.45,171.73,68267.700592585,397.5292645
1701302400000,2023-11-30 00:00:00,XMR/USD,166.19,170.26,165.79,169.69,129137.91136280229,761.02251967
1701216000000,2023-11-29 00:00:00,XMR/USD,167.44,167.59,165.07,165.82,92872.84196165399,560.0822697
1701129600000,2023-11-28 00:00:00,XMR/USD,166.13,167.73,164.1,167.62,107130.0241370224,639.12435352
1701043200000,2023-11-27 00:00:00,XMR/USD,169.17,170.26,164.9,166.75,121675.78716317,729.6898780399999
1700956800000,2023-11-26 00:00:00,XMR/USD,172.03,173.01,168.02,169.58,135226.7684723546,797.4216798699999
1700870400000,2023-11-25 00:00:00,XMR/USD,170.45,172.66,169.72,171.74,51579.425143454406,300.33437256
1700784000000,2023-11-24 00:00:00,XMR/USD,165.9,171.5,165.89,170.0,167009.9995876,982.41176228
1700697600000,2023-11-23 00:00:00,XMR/USD,163.48,167.7,163.24,165.92,104193.17206146078,627.97234849
1700611200000,2023-11-22 00:00:00,XMR/USD,158.84,163.9,158.39,163.15,103191.87819846101,632.49695494
1700524800000,2023-11-21 00:00:00,XMR/USD,163.83,165.8,158.43,158.94,37821.51839961,237.9609815
1700438400000,2023-11-20 00:00:00,XMR/USD,164.04,164.9,161.89,163.42,27583.4365680192,168.78862176
1700352000000,2023-11-19 00:00:00,XMR/USD,160.11,164.19,159.83,164.19,33247.2598708575,202.49259925
1700265600000,2023-11-18 00:00:00,XMR/USD,162.64,162.79,159.27,160.73,35847.4058457473,223.02871801
1700179200000,2023-11-17 00:00:00,XMR/USD,160.86,167.0,160.76,162.88,72138.1144993024,442.89117448
1700092800000,2023-11-16 00:00:00,XMR/USD,161.76,162.96,157.5,160.77,20773.536163134304,129.21276459
1700006400000,2023-11-15 00:00:00,XMR/USD,163.67,166.47,157.92,160.75,67367.926362445,419.08507846
1699920000000,2023-11-14 00:00:00,XMR/USD,162.73,166.28,159.09,163.1,34451.343195087,211.22834577
1699833600000,2023-11-13 00:00:00,XMR/USD,171.55,172.85,162.91,162.91,60336.6480567697,370.36798267
1699747200000,2023-11-12 00:00:00,XMR/USD,169.38,171.57,166.61,171.13,45160.1102569221,263.89359117
1699660800000,2023-11-11 00:00:00,XMR/USD,171.02,172.4,168.02,169.35,168548.774799093,995.26882078
1699574400000,2023-11-10 00:00:00,XMR/USD,169.98,173.86,167.73,170.88,86900.406969408,508.5463891
