https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume REP
1657152000000,2022-07-07 00:00:00,REP/USD,8.1503,8.4085,7.9932,8.3646,942.935209935354,112.72926499
1657065600000,2022-07-06 00:00:00,REP/USD,8.0908,8.2593,7.8729,8.1498,1844.5050263716741,226.32518912999998
1656979200000,2022-07-05 00:00:00,REP/USD,8.2446,8.2446,7.7684,8.0646,902.856231381348,111.95300838
1656892800000,2022-07-04 00:00:00,REP/USD,8.0599,8.2378,7.7355,8.2366,828.199414377886,100.55112721
1656806400000,2022-07-03 00:00:00,REP/USD,8.0917,8.0917,7.8351,8.0644,727.227232535116,90.17747539
1656720000000,2022-07-02 00:00:00,REP/USD,8.1004,8.1476,7.7977,8.1476,917.0162801746441,112.55047869
1656633600000,2022-07-01 00:00:00,REP/USD,8.0228,8.208,7.714,8.0625,5279.676934575,654.8436508
1656547200000,2022-06-30 00:00:00,REP/USD,8.3368,8.6812,7.4665,8.0816,7397.372199357328,915.33510683
1656460800000,2022-06-29 00:00:00,REP/USD,8.4477,8.5282,8.0469,8.3456,1383.5119827732478,165.77741358
1656374400000,2022-06-28 00:00:00,REP/USD,8.746,8.771,8.3857,8.4689,1873.014575081749,221.16385541
1656288000000,2022-06-27 00:00:00,REP/USD,8.7807,9.3364,8.4864,8.8306,9762.001085482985,1105.47426964
1656201600000,2022-06-26 00:00:00,REP/USD,9.2639,9.311,8.7278,8.7411,1844.756377461954,211.04396214
1656115200000,2022-06-25 00:00:00,REP/USD,8.8913,10.386,8.8828,9.2892,6103.559068628795,657.05971113
1656028800000,2022-06-24 00:00:00,REP/USD,8.7892,8.9351,8.489,8.8981,1841.123328360352,206.91196192
1655942400000,2022-06-23 00:00:00,REP/USD,8.3266,8.8201,8.0921,8.7524,1476.0174523619598,168.6414529
1655856000000,2022-06-22 00:00:00,REP/USD,8.4107,9.9058,8.2333,8.439,3720.28344800316,440.84411044
1655769600000,2022-06-21 00:00:00,REP/USD,7.8916,8.3901,7.6273,7.9696,1407.3670094648,176.5919255
1655683200000,2022-06-20 00:00:00,REP/USD,7.844,7.919,7.3892,7.919,1352.44598848266,170.78494614
1655596800000,2022-06-19 00:00:00,REP/USD,7.6682,7.9249,7.0255,7.9249,4157.318230872101,524.58936149
1655510400000,2022-06-18 00:00:00,REP/USD,8.4582,8.5186,6.9164,7.6127,2350.883384815813,308.81072219
1655424000000,2022-06-17 00:00:00,REP/USD,8.1849,8.721,7.914,8.469,2743.8684782204696,323.98966563
1655337600000,2022-06-16 00:00:00,REP/USD,7.0872,10.845,7.0872,8.1396,17262.22260523421,2120.77038248
1655251200000,2022-06-15 00:00:00,REP/USD,6.567,7.0708,5.8355,7.0708,13165.516481076696,1861.95571662
1655164800000,2022-06-14 00:00:00,REP/USD,6.5818,6.7282,5.8423,6.5599,6952.075797900864,1059.78380736
1655078400000,2022-06-13 00:00:00,REP/USD,7.6136,8.1025,6.3051,6.4792,14730.743577077528,2273.54358209
1654992000000,2022-06-12 00:00:00,REP/USD,8.3966,8.6593,7.6136,7.6136,1663.891638741904,218.54203514
1654905600000,2022-06-11 00:00:00,REP/USD,8.7834,9.7859,8.1093,8.409,4339.267473463591,516.02657551
1654819200000,2022-06-10 00:00:00,REP/USD,9.3617,9.5241,8.6859,8.767,1479.65225914407,168.77520921
1654732800000,2022-06-09 00:00:00,REP/USD,9.6044,9.6367,9.2478,9.345,1506.3200741526,161.18994908
1654646400000,2022-06-08 00:00:00,REP/USD,9.7179,9.7488,9.3706,9.4886,957.9646295681,100.9595335
1654560000000,2022-06-07 00:00:00,REP/USD,10.179,10.179,9.3705,9.7525,1411.75671399215,144.75844286
1654473600000,2022-06-06 00:00:00,REP/USD,10.006,10.496,9.96,10.301,1567.2409414603899,152.14454339
1654387200000,2022-06-05 00:00:00,REP/USD,10.065,10.387,9.654,10.135,1698.71865285245,167.60914187
1654300800000,2022-06-04 00:00:00,REP/USD,10.065,10.065,9.5164,9.9148,755.346599585956,76.18374547
1654214400000,2022-06-03 00:00:00,REP/USD,10.047,10.805,9.4851,10.033,8602.88686456016,857.45907152
1654128000000,2022-06-02 00:00:00,REP/USD,9.9006,10.476,9.4282,10.012,2364.85587343724,236.20214477
1654041600000,2022-06-01 00:00:00,REP/USD,10.829,10.829,9.687,9.9384,3295.9696341172316,331.63986497999997
1653955200000,2022-05-31 00:00:00,REP/USD,11.669,11.669,10.531,10.886,1818.3093901130399,167.03191164
1653868800000,2022-05-30 00:00:00,REP/USD,11.496,11.973,10.852,11.604,3584.18496308292,308.87495373
1653782400000,2022-05-29 00:00:00,REP/USD,9.1914,12.8,9.1673,11.364,6675.452170361281,587.42099352
1653696000000,2022-05-28 00:00:00,REP/USD,9.4054,9.4054,8.9833,9.222,12569.80833882342,1363.02410961
1653609600000,2022-05-27 00:00:00,REP/USD,9.3097,10.496,8.7528,9.3783,18368.541518760932,1958.62166051
1653523200000,2022-05-26 00:00:00,REP/USD,10.109,10.109,8.602,9.2691,4864.284262076534,524.78495885
1653436800000,2022-05-25 00:00:00,REP/USD,10.556,10.556,9.5326,10.143,1958.5381058838002,193.0925866
1653350400000,2022-05-24 00:00:00,REP/USD,11.253,11.746,9.7275,10.491,15182.42764712739,1447.18593529
1653264000000,2022-05-23 00:00:00,REP/USD,13.143,15.571,10.749,10.967,27002.27967321797,2462.13911491
1653177600000,2022-05-22 00:00:00,REP/USD,7.1089,12.683,7.0679,12.611,72617.40191003784,5758.25881453
1653091200000,2022-05-21 00:00:00,REP/USD,7.0117,7.1165,6.8722,7.0785,1740.117871328265,245.83144329
1653004800000,2022-05-20 00:00:00,REP/USD,7.2406,7.3758,6.8312,7.0142,901.8699129242959,128.57772988
1652918400000,2022-05-19 00:00:00,REP/USD,6.9406,7.3115,6.5726,7.2436,4082.676851244992,563.62538672
1652832000000,2022-05-18 00:00:00,REP/USD,7.86,8.0992,6.9012,6.9303,1552.595968565109,224.03012403
1652745600000,2022-05-17 00:00:00,REP/USD,7.3178,8.2135,7.2703,7.8629,4569.208736750444,581.10986236
1652659200000,2022-05-16 00:00:00,REP/USD,7.7547,8.0724,7.102,7.3058,1185.768082110186,162.30502917
1652572800000,2022-05-15 00:00:00,REP/USD,7.3109,7.7849,7.1809,7.7849,1286.836980016139,165.29910211
1652486400000,2022-05-14 00:00:00,REP/USD,6.9412,7.3815,6.6412,7.2984,1702.4552147517838,233.26416951
1652400000000,2022-05-13 00:00:00,REP/USD,6.3777,7.3516,6.3545,6.907,4566.86954377359,661.19437437
1652313600000,2022-05-12 00:00:00,REP/USD,7.1927,7.406,5.524,6.3588,14726.734835193613,2315.96131899
1652227200000,2022-05-11 00:00:00,REP/USD,9.1054,9.2189,6.9698,7.1246,7643.214258523929,1072.79205268
1652140800000,2022-05-10 00:00:00,REP/USD,8.8977,9.7544,8.4805,9.0948,4271.469860606519,469.6606699
1652054400000,2022-05-09 00:00:00,REP/USD,10.495,11.983,8.8922,8.8922,6899.095071533601,775.859188
1651968000000,2022-05-08 00:00:00,REP/USD,10.903,10.927,10.466,10.485,2189.4482289717,208.81718922
1651881600000,2022-05-07 00:00:00,REP/USD,11.216,11.293,10.768,10.913,1505.7072939913899,137.97372803
1651795200000,2022-05-06 00:00:00,REP/USD,11.424,11.562,10.841,11.198,4196.90086351558,374.79021821
1651708800000,2022-05-05 00:00:00,REP/USD,12.457,12.727,11.278,11.388,2416.13021916084,212.16457843
1651622400000,2022-05-04 00:00:00,REP/USD,11.512,12.495,11.451,12.493,1547.05386653181,123.83365617
1651536000000,2022-05-03 00:00:00,REP/USD,11.743,11.902,11.408,11.473,1329.1580979253501,115.85096295
1651449600000,2022-05-02 00:00:00,REP/USD,12.045,12.133,11.579,11.802,2858.77286240616,242.22783108000002
1651363200000,2022-05-01 00:00:00,REP/USD,11.632,12.161,11.318,11.975,1594.8896390164998,133.18493854
1651276800000,2022-04-30 00:00:00,REP/USD,12.776,12.861,11.632,11.647,1403.69263806979,120.51967357
1651190400000,2022-04-29 00:00:00,REP/USD,13.363,13.896,12.688,12.806,1321.6507606963598,103.20558806
1651104000000,2022-04-28 00:00:00,REP/USD,13.158,13.533,12.989,13.386,1514.6155981343998,113.1492304
1651017600000,2022-04-27 00:00:00,REP/USD,12.887,13.405,12.683,13.164,1940.64925337016,147.42093994
1650931200000,2022-04-26 00:00:00,REP/USD,13.877,13.89,12.759,12.857,1330.53024569491,103.48683563
1650844800000,2022-04-25 00:00:00,REP/USD,14.043,14.084,12.864,13.83,1741.5249903438,125.92371586
1650758400000,2022-04-24 00:00:00,REP/USD,13.907,14.249,13.698,14.026,1330.69835167502,94.87368827
1650672000000,2022-04-23 00:00:00,REP/USD,14.509,14.509,13.76,13.954,1218.56578315366,87.32734579
1650585600000,2022-04-22 00:00:00,REP/USD,14.002,15.506,13.951,14.487,4326.43346564253,298.64247019
