https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XVG
1708646400000,2024-02-23 00:00:00,XVG/USD,0.0038599,0.0039135,0.0037295,0.0038792,2900.878800136359,747803.36155299
1708560000000,2024-02-22 00:00:00,XVG/USD,0.003682,0.0039858,0.0036244,0.0038463,751.7373673790314,195444.28863558001
1708473600000,2024-02-21 00:00:00,XVG/USD,0.0037759,0.0037956,0.0035101,0.0036927,1571.881096994134,425672.56939208
1708387200000,2024-02-20 00:00:00,XVG/USD,0.0039483,0.003966,0.0036276,0.0037513,849.8404940312656,226545.59593508
1708300800000,2024-02-19 00:00:00,XVG/USD,0.0039203,0.0039887,0.0038243,0.0039618,452.4704054289248,114208.29053181
1708214400000,2024-02-18 00:00:00,XVG/USD,0.0038648,0.0039734,0.0038241,0.0039205,1127.5494241882793,287603.47511498
1708128000000,2024-02-17 00:00:00,XVG/USD,0.0037924,0.0038707,0.0036858,0.0038567,3486.7897974825883,904086.34259408
1708041600000,2024-02-16 00:00:00,XVG/USD,0.0037173,0.0042958,0.0036402,0.0037836,11399.597260618079,3012897.04530555
1707955200000,2024-02-15 00:00:00,XVG/USD,0.0035617,0.003741,0.0035495,0.0037135,957.5186003685568,257848.01410221
1707868800000,2024-02-14 00:00:00,XVG/USD,0.0034567,0.0035871,0.0034384,0.0035515,417.69410803338593,117610.61749496999
1707782400000,2024-02-13 00:00:00,XVG/USD,0.0034622,0.0035165,0.0033889,0.0034524,1973.5051609190548,571632.82380925
1707696000000,2024-02-12 00:00:00,XVG/USD,0.0033051,0.0034557,0.0032569,0.0034427,1144.87044198531,332550.16178735
1707609600000,2024-02-11 00:00:00,XVG/USD,0.0032988,0.003393,0.0032903,0.0032997,3612.4267486394215,1094774.29725109
1707523200000,2024-02-10 00:00:00,XVG/USD,0.0033348,0.0033616,0.0032721,0.0033058,1619.103493429165,489776.60276761
1707436800000,2024-02-09 00:00:00,XVG/USD,0.003238,0.0033379,0.003238,0.0033222,384.36454458334214,115695.7873046
1707350400000,2024-02-08 00:00:00,XVG/USD,0.0032535,0.0032936,0.0032012,0.0032317,1077.039556548577,333273.37207927
1707264000000,2024-02-07 00:00:00,XVG/USD,0.003122,0.0032608,0.0031112,0.0032568,623.5679708028104,191466.46118976
1707177600000,2024-02-06 00:00:00,XVG/USD,0.0031519,0.0031793,0.0031016,0.0031016,188.7954311741763,60870.335044550004
