https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume OMG
1714262400000,2024-04-28 00:00:00,OMG/USD,0.65889,0.67446,0.64734,0.64955,12485.548668214155,19221.84384299
1714176000000,2024-04-27 00:00:00,OMG/USD,0.64793,0.66799,0.62289,0.66337,15199.650727381793,22912.77978712
1714089600000,2024-04-26 00:00:00,OMG/USD,0.66847,0.67167,0.64505,0.64717,7819.8830027711165,12083.19761851
1714003200000,2024-04-25 00:00:00,OMG/USD,0.66356,0.68276,0.64628,0.66974,11591.446717316758,17307.38304016
1713916800000,2024-04-24 00:00:00,OMG/USD,0.70715,0.7251,0.65854,0.66449,9820.92332319426,14779.64051106
1713830400000,2024-04-23 00:00:00,OMG/USD,0.70767,0.71802,0.69472,0.70545,2696.768109758604,3822.76293112
1713744000000,2024-04-22 00:00:00,OMG/USD,0.69073,0.71754,0.68306,0.71119,9448.854880244235,13285.97826213
1713657600000,2024-04-21 00:00:00,OMG/USD,0.70619,0.70871,0.67446,0.68833,6982.976552215778,10144.80925169
1713571200000,2024-04-20 00:00:00,OMG/USD,0.66236,0.71505,0.64945,0.70758,18688.017858319523,26411.17309466
1713484800000,2024-04-19 00:00:00,OMG/USD,0.64303,0.67012,0.5951,0.65914,13499.818477427145,20480.9577289
1713398400000,2024-04-18 00:00:00,OMG/USD,0.63045,0.65292,0.60708,0.64683,14021.162977882726,21676.73573873
1713312000000,2024-04-17 00:00:00,OMG/USD,0.64027,0.6497,0.59905,0.62522,16544.94592054414,26462.59863815
1713225600000,2024-04-16 00:00:00,OMG/USD,0.63808,0.6551,0.61181,0.644,17557.654434411,27263.43856275
1713139200000,2024-04-15 00:00:00,OMG/USD,0.64938,0.6998,0.60788,0.63909,31870.58570259113,49868.69721415
1713052800000,2024-04-14 00:00:00,OMG/USD,0.60388,0.66405,0.58272,0.65635,175438.16425326202,267293.61507315
1712966400000,2024-04-13 00:00:00,OMG/USD,0.73171,0.7387,0.52251,0.60428,222899.59879231933,368868.07240405
1712880000000,2024-04-12 00:00:00,OMG/USD,0.95979,0.97422,0.66022,0.73637,54475.52783225469,73978.47255083
1712793600000,2024-04-11 00:00:00,OMG/USD,0.96498,0.99401,0.9463,0.95722,7736.321735188199,8082.07281
1712707200000,2024-04-10 00:00:00,OMG/USD,0.98822,0.99351,0.9201,0.96301,58580.81348290765,60830.95033583
1712620800000,2024-04-09 00:00:00,OMG/USD,1.036,1.036,0.97528,0.99239,17532.30192868948,17666.74586472
1712534400000,2024-04-08 00:00:00,OMG/USD,0.96849,1.039,0.94301,1.0348,16167.412215485647,15623.70720476
1712448000000,2024-04-07 00:00:00,OMG/USD,0.95259,0.98367,0.95234,0.97392,5174.459446147396,5313.02308829
1712361600000,2024-04-06 00:00:00,OMG/USD,0.94304,0.979,0.94304,0.95643,9190.422354197626,9609.09042397
1712275200000,2024-04-05 00:00:00,OMG/USD,0.96898,0.97642,0.9201,0.95001,63498.53642348029,66839.86107881
1712188800000,2024-04-04 00:00:00,OMG/USD,0.945,0.9999,0.91826,0.97286,11779.349586369442,12107.95961019
1712102400000,2024-04-03 00:00:00,OMG/USD,0.96087,1.0022,0.92042,0.93916,25635.200793726275,27295.8822711
1712016000000,2024-04-02 00:00:00,OMG/USD,1.0411,1.0434,0.93442,0.96349,24078.3691172248,24990.78258957
1711929600000,2024-04-01 00:00:00,OMG/USD,1.1261,1.1323,1.0184,1.0455,24985.496636980322,23898.13164704
1711843200000,2024-03-31 00:00:00,OMG/USD,1.1022,1.1221,1.0986,1.1191,11743.603835425123,10493.79307964
1711756800000,2024-03-30 00:00:00,OMG/USD,1.1525,1.1621,1.0988,1.1051,18816.22168096258,17026.7140358
1711670400000,2024-03-29 00:00:00,OMG/USD,1.0994,1.159,1.0884,1.1544,19714.35459416249,17077.576744770002
1711584000000,2024-03-28 00:00:00,OMG/USD,1.0974,1.1112,1.0662,1.1015,14776.033627294284,13414.46539019
1711497600000,2024-03-27 00:00:00,OMG/USD,1.1259,1.1449,1.076,1.0906,13302.522496530624,12197.43489504
1711411200000,2024-03-26 00:00:00,OMG/USD,1.094,1.1398,1.0877,1.1283,11647.47252312361,10323.02802723
1711324800000,2024-03-25 00:00:00,OMG/USD,1.056,1.1178,1.0501,1.0962,17656.540201020296,16107.04269387
1711238400000,2024-03-24 00:00:00,OMG/USD,1.0111,1.059,1.0001,1.054,7554.89102299324,7167.82829506
1711152000000,2024-03-23 00:00:00,OMG/USD,1.0009,1.0389,0.98305,1.0114,10355.331966135494,10238.61179171
1711065600000,2024-03-22 00:00:00,OMG/USD,1.0269,1.0483,0.96011,1.0043,34565.27162136406,34417.27732885
1710979200000,2024-03-21 00:00:00,OMG/USD,1.0461,1.0648,1.0001,1.0224,8883.135905730192,8688.51320983
1710892800000,2024-03-20 00:00:00,OMG/USD,0.95756,1.0583,0.90567,1.0474,49348.83096602426,47115.55371971
1710806400000,2024-03-19 00:00:00,OMG/USD,1.083,1.0832,0.9274,0.95662,32534.351167792654,34009.69158892
1710720000000,2024-03-18 00:00:00,OMG/USD,1.1202,1.149,1.0679,1.0851,79629.36887787923,73384.35985428
1710633600000,2024-03-17 00:00:00,OMG/USD,1.0607,1.1436,1.0201,1.129,23454.16998075282,20774.28696258
1710547200000,2024-03-16 00:00:00,OMG/USD,1.196,1.2197,1.0333,1.0591,31007.983248965884,29277.67278724
1710460800000,2024-03-15 00:00:00,OMG/USD,1.3088,1.3212,1.1001,1.192,43878.703683773594,36810.9930233
1710374400000,2024-03-14 00:00:00,OMG/USD,1.3142,1.3272,1.2201,1.3122,15132.023661350899,11531.79672409
1710288000000,2024-03-13 00:00:00,OMG/USD,1.2683,1.3397,1.256,1.319,67313.88302936858,51034.02807382
1710201600000,2024-03-12 00:00:00,OMG/USD,1.2799,1.2905,1.1501,1.2749,61713.928543822374,48406.87782871
1710115200000,2024-03-11 00:00:00,OMG/USD,1.1696,1.3997,1.1025,1.2827,72976.43782345716,56892.83372843
1710028800000,2024-03-10 00:00:00,OMG/USD,1.1998,1.2089,1.1255,1.1638,25119.56060258064,21584.08713059
1709942400000,2024-03-09 00:00:00,OMG/USD,1.1878,1.2649,1.1771,1.1966,48855.16434133336,40828.31718313
1709856000000,2024-03-08 00:00:00,OMG/USD,1.1794,1.2468,1.1201,1.1885,53781.22160621485,45251.34337923
1709769600000,2024-03-07 00:00:00,OMG/USD,1.1844,1.1844,1.1301,1.1756,22612.93236053547,19235.22657412
1709683200000,2024-03-06 00:00:00,OMG/USD,1.0316,1.198,1.0102,1.1886,113167.83646566558,95211.03522267
1709596800000,2024-03-05 00:00:00,OMG/USD,1.1864,1.239,0.9,1.0381,179981.07804517544,173375.47254135
1709510400000,2024-03-04 00:00:00,OMG/USD,1.1639,1.249,1.1168,1.1819,137429.4413802718,116278.40035559
1709424000000,2024-03-03 00:00:00,OMG/USD,1.08,1.3396,1.0112,1.1661,339470.8113871082,291116.3805738
1709337600000,2024-03-02 00:00:00,OMG/USD,0.96442,1.0759,0.95873,1.0729,118664.42154718982,110601.56729163
1709251200000,2024-03-01 00:00:00,OMG/USD,0.87826,1.0377,0.8781,0.96801,90995.39983245586,94002.54112298
1709164800000,2024-02-29 00:00:00,OMG/USD,0.8911,0.94467,0.8501,0.87641,74687.33364542724,85219.6273952
1709078400000,2024-02-28 00:00:00,OMG/USD,0.79713,0.936,0.73519,0.90101,449048.94368108374,498383.97318685
1708992000000,2024-02-27 00:00:00,OMG/USD,0.76798,0.81416,0.76158,0.79643,46609.99030725153,58523.64967072
1708905600000,2024-02-26 00:00:00,OMG/USD,0.76986,0.77745,0.72584,0.76735,221913.59335203085,289194.75252757
1708819200000,2024-02-25 00:00:00,OMG/USD,0.74874,0.77187,0.73692,0.77187,54636.48383306449,70784.56713315
1708732800000,2024-02-24 00:00:00,OMG/USD,0.71016,0.84,0.69518,0.75003,86814.62272267857,115748.20036889
1708646400000,2024-02-23 00:00:00,OMG/USD,0.69712,0.72198,0.68236,0.71255,23303.12580310344,32703.84647127
1708560000000,2024-02-22 00:00:00,OMG/USD,0.6904,0.71098,0.67389,0.69647,18739.059136733544,26905.76641741
1708473600000,2024-02-21 00:00:00,OMG/USD,0.71965,0.71965,0.66194,0.69196,18680.024476025643,26995.81547492
1708387200000,2024-02-20 00:00:00,OMG/USD,0.72203,0.72723,0.66935,0.71819,44359.48012117727,61765.66106626
1708300800000,2024-02-19 00:00:00,OMG/USD,0.70733,0.73488,0.70585,0.71998,36261.42966635655,50364.4957726
1708214400000,2024-02-18 00:00:00,OMG/USD,0.69021,0.71147,0.68716,0.70497,28323.30979837579,40176.61715871
1708128000000,2024-02-17 00:00:00,OMG/USD,0.69487,0.69804,0.6701,0.6904,23928.767384040286,34659.28068372
1708041600000,2024-02-16 00:00:00,OMG/USD,0.69693,0.70998,0.6797,0.69519,29717.349995738932,42747.09071727
1707955200000,2024-02-15 00:00:00,OMG/USD,0.68332,0.71,0.67727,0.69419,33700.29684216144,48546.21478581
1707868800000,2024-02-14 00:00:00,OMG/USD,0.66181,0.68684,0.65446,0.68186,34127.193761793314,50050.1477749
1707782400000,2024-02-13 00:00:00,OMG/USD,0.66984,0.67277,0.64816,0.66268,33553.362472976165,50632.82802103
1707696000000,2024-02-12 00:00:00,OMG/USD,0.6466,0.67141,0.63633,0.66728,11906.252906791187,17842.96383346
1707609600000,2024-02-11 00:00:00,OMG/USD,0.65145,0.6596,0.64223,0.64648,42010.519868954936,64983.47956465
1707523200000,2024-02-10 00:00:00,OMG/USD,0.65327,0.65994,0.64137,0.65212,7672.245112257707,11765.08175222
1707436800000,2024-02-09 00:00:00,OMG/USD,0.63178,0.65725,0.63084,0.65303,19045.16905238896,29164.30953002
1707350400000,2024-02-08 00:00:00,OMG/USD,0.62353,0.6357,0.62065,0.62846,15352.564791434814,24428.86546707
1707264000000,2024-02-07 00:00:00,OMG/USD,0.60872,0.63308,0.60144,0.62175,83232.89753146358,133868.7535689
1707177600000,2024-02-06 00:00:00,OMG/USD,0.61859,0.62578,0.60447,0.60853,249567.7801319177,410115.82030782
1707091200000,2024-02-05 00:00:00,OMG/USD,0.61578,0.63075,0.60162,0.61783,11746.806747591487,19013.0080242
1707004800000,2024-02-04 00:00:00,OMG/USD,0.63596,0.63699,0.61567,0.6165,3928.341486313665,6372.00565501
1706918400000,2024-02-03 00:00:00,OMG/USD,0.64572,0.649,0.63108,0.63803,19708.076303707905,30888.94927152
1706832000000,2024-02-02 00:00:00,OMG/USD,0.63622,0.64468,0.63117,0.64421,10640.992890354328,16517.89461566
1706745600000,2024-02-01 00:00:00,OMG/USD,0.62865,0.63805,0.61634,0.63661,39471.81521107643,62003.13411834
1706659200000,2024-01-31 00:00:00,OMG/USD,0.65391,0.65466,0.62181,0.62781,38224.38231871566,60885.27152915
1706572800000,2024-01-30 00:00:00,OMG/USD,0.66825,0.67373,0.65042,0.65204,6913.6186917261375,10603.05915546
1706486400000,2024-01-29 00:00:00,OMG/USD,0.65532,0.67257,0.65066,0.66863,5974.90553342748,8936.04165746
1706400000000,2024-01-28 00:00:00,OMG/USD,0.66758,0.67683,0.64874,0.65437,71869.54614068866,109830.13607086
1706313600000,2024-01-27 00:00:00,OMG/USD,0.66446,0.67224,0.65771,0.66826,7766.519882649742,11622.00323624
1706227200000,2024-01-26 00:00:00,OMG/USD,0.63051,0.66695,0.62464,0.66188,15862.02598480433,23965.10845592
1706140800000,2024-01-25 00:00:00,OMG/USD,0.64232,0.64493,0.61771,0.63111,362372.02096082916,574182.03001193
1706054400000,2024-01-24 00:00:00,OMG/USD,0.649,0.659,0.62932,0.64229,535981.1967182149,834484.72920054
1705968000000,2024-01-23 00:00:00,OMG/USD,0.66835,0.6878,0.60732,0.64802,26889.53834010078,41494.92043471
1705881600000,2024-01-22 00:00:00,OMG/USD,0.74716,0.76899,0.65,0.66767,84020.2083903913,125840.92199798
