https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume EOS
1706572800000,2024-01-30 00:00:00,EOS/USD,0.71808,0.72475,0.70085,0.701,78960.47042029086,112639.75808886
1706486400000,2024-01-29 00:00:00,EOS/USD,0.707,0.72,0.69588,0.71741,46106.18080627686,64267.54687874
1706400000000,2024-01-28 00:00:00,EOS/USD,0.70983,0.73342,0.70073,0.70988,138024.02907190676,194432.90284542
1706313600000,2024-01-27 00:00:00,EOS/USD,0.70709,0.712,0.69624,0.70993,64487.33269146338,90836.1848231
1706227200000,2024-01-26 00:00:00,EOS/USD,0.68888,0.70729,0.68541,0.70449,131872.7174252337,187188.91315027
1706140800000,2024-01-25 00:00:00,EOS/USD,0.68918,0.69358,0.67467,0.68941,200129.1167605533,290290.41754624
1706054400000,2024-01-24 00:00:00,EOS/USD,0.67631,0.69,0.6703,0.68891,30314.543828962338,44003.63447905
1705968000000,2024-01-23 00:00:00,EOS/USD,0.69118,0.70509,0.64444,0.67781,301377.35008897417,444633.96835245
1705881600000,2024-01-22 00:00:00,EOS/USD,0.72238,0.726,0.67649,0.69077,239520.27140932207,346743.88205817
1705795200000,2024-01-21 00:00:00,EOS/USD,0.72645,0.73459,0.7209,0.72232,228177.77558350592,315895.6910836
1705708800000,2024-01-20 00:00:00,EOS/USD,0.72256,0.72771,0.71225,0.72755,222848.5324548478,306299.95526747
1705622400000,2024-01-19 00:00:00,EOS/USD,0.7179,0.72444,0.68178,0.72217,155913.18542113548,215895.40609709
1705536000000,2024-01-18 00:00:00,EOS/USD,0.76108,0.76199,0.70796,0.7182,121390.70033581596,169020.7467778
1705449600000,2024-01-17 00:00:00,EOS/USD,0.77508,0.77848,0.74983,0.7621,65569.41263997609,86037.80690195
1705363200000,2024-01-16 00:00:00,EOS/USD,0.77995,0.78657,0.7568,0.77544,91075.95427784472,117450.67868287
1705276800000,2024-01-15 00:00:00,EOS/USD,0.74951,0.79404,0.74951,0.77983,190715.7126106237,244560.62553457
1705190400000,2024-01-14 00:00:00,EOS/USD,0.76426,0.7703,0.74459,0.74928,69334.18813012089,92534.41721402
1705104000000,2024-01-13 00:00:00,EOS/USD,0.7718,0.77258,0.74259,0.76421,148857.90235447523,194786.64549597
1705017600000,2024-01-12 00:00:00,EOS/USD,0.78547,0.81004,0.73762,0.77101,237650.38020627864,308232.55237452
1704931200000,2024-01-11 00:00:00,EOS/USD,0.7556,0.80564,0.74488,0.78343,302590.14086762845,386237.62284777
1704844800000,2024-01-10 00:00:00,EOS/USD,0.7087,0.7672,0.69211,0.75177,259073.41262589776,344617.91854676
1704758400000,2024-01-09 00:00:00,EOS/USD,0.73767,0.74118,0.67891,0.70938,189924.43522807144,267732.99956028
1704672000000,2024-01-08 00:00:00,EOS/USD,0.70272,0.74064,0.66946,0.73916,200208.46432143735,270859.44088078
1704585600000,2024-01-07 00:00:00,EOS/USD,0.7362,0.74775,0.69454,0.70129,171218.38029713882,244147.75670142
1704499200000,2024-01-06 00:00:00,EOS/USD,0.74651,0.7488,0.70516,0.7401,112153.47955870908,151538.27801474
1704412800000,2024-01-05 00:00:00,EOS/USD,0.77551,0.776,0.72285,0.74665,252630.4581637555,338351.9161103
1704326400000,2024-01-04 00:00:00,EOS/USD,0.76921,0.78262,0.75634,0.77291,190669.69592558572,246690.68316568
1704240000000,2024-01-03 00:00:00,EOS/USD,0.8671,0.8782,0.58629,0.76923,983957.2218635941,1279145.66756834
1704153600000,2024-01-02 00:00:00,EOS/USD,0.88759,0.8949,0.859,0.86633,313225.83715179557,361554.87764685
1704067200000,2024-01-01 00:00:00,EOS/USD,0.84647,0.88641,0.83955,0.88581,70713.51684993123,79829.21489928
1703980800000,2023-12-31 00:00:00,EOS/USD,0.8541,0.8673,0.82116,0.84639,99183.19532688078,117183.79863524
1703894400000,2023-12-30 00:00:00,EOS/USD,0.84889,0.87564,0.84082,0.8554,54486.63587906776,63697.25962014
1703808000000,2023-12-29 00:00:00,EOS/USD,0.87186,0.88219,0.82998,0.85,370159.23832454847,435481.45685241
1703721600000,2023-12-28 00:00:00,EOS/USD,0.9086,0.91322,0.86,0.8718,103780.7333944908,119041.905706
1703635200000,2023-12-27 00:00:00,EOS/USD,0.87449,0.9082,0.83949,0.90649,184492.47095834906,203524.00021881
1703548800000,2023-12-26 00:00:00,EOS/USD,0.88167,0.88877,0.8133,0.8722,249942.82758115925,286565.95686902
1703462400000,2023-12-25 00:00:00,EOS/USD,0.81541,0.88617,0.80983,0.8823,265613.85021169944,301047.09306551
1703376000000,2023-12-24 00:00:00,EOS/USD,0.84021,0.8457,0.80114,0.81997,112522.13959980436,137227.14196837
1703289600000,2023-12-23 00:00:00,EOS/USD,0.84644,0.84688,0.8179,0.84145,62287.835855335965,74024.4053186
1703203200000,2023-12-22 00:00:00,EOS/USD,0.84471,0.89277,0.83525,0.8484,392757.654198652,462939.24351562
1703116800000,2023-12-21 00:00:00,EOS/USD,0.78877,0.84749,0.7859,0.84432,100320.57580121895,118818.1919192
1703030400000,2023-12-20 00:00:00,EOS/USD,0.76293,0.8048,0.75688,0.78923,273793.018315918,346911.56990474
1702944000000,2023-12-19 00:00:00,EOS/USD,0.77635,0.79025,0.75625,0.7611,51058.57301223162,67085.23585893
1702857600000,2023-12-18 00:00:00,EOS/USD,0.8001,0.80384,0.7295,0.77843,312372.9541148176,401285.86271703
1702771200000,2023-12-17 00:00:00,EOS/USD,0.80703,0.83148,0.79696,0.80057,377537.012172625,471585.26071752
1702684800000,2023-12-16 00:00:00,EOS/USD,0.75556,0.81042,0.74644,0.80703,173688.41772556427,215219.28271014
1702598400000,2023-12-15 00:00:00,EOS/USD,0.79412,0.79999,0.75175,0.75409,213815.27696155445,283540.79348825
1702512000000,2023-12-14 00:00:00,EOS/USD,0.78658,0.80106,0.76,0.79183,334340.5498024982,422237.79069055
1702425600000,2023-12-13 00:00:00,EOS/USD,0.7837,0.78923,0.74124,0.78697,194105.61129825757,246649.31483825
1702339200000,2023-12-12 00:00:00,EOS/USD,0.77129,0.79242,0.75677,0.78279,78496.91589295234,100278.38359324
1702252800000,2023-12-11 00:00:00,EOS/USD,0.8382,0.84052,0.73762,0.76931,292735.42325971625,380516.85700136
1702166400000,2023-12-10 00:00:00,EOS/USD,0.85261,0.88,0.81461,0.83833,107921.42210437599,128733.81854923
1702080000000,2023-12-09 00:00:00,EOS/USD,0.8,0.87215,0.8,0.85266,458629.2678129611,537880.59462501
1701993600000,2023-12-08 00:00:00,EOS/USD,0.77061,0.80031,0.75896,0.79732,252134.61688007662,316227.6336729
1701907200000,2023-12-07 00:00:00,EOS/USD,0.74283,0.79168,0.74011,0.77032,229015.54639933672,297299.23460294
1701820800000,2023-12-06 00:00:00,EOS/USD,0.74372,0.7526,0.71891,0.73961,173908.0206386216,235134.76107492
1701734400000,2023-12-05 00:00:00,EOS/USD,0.71646,0.74744,0.71102,0.7431,229357.93482685907,308650.16125267
1701648000000,2023-12-04 00:00:00,EOS/USD,0.7016,0.7296,0.69292,0.71778,210720.363514096,293572.35296901
1701561600000,2023-12-03 00:00:00,EOS/USD,0.70049,0.70538,0.69057,0.70076,51105.11299801141,72928.12517554
1701475200000,2023-12-02 00:00:00,EOS/USD,0.69018,0.7056,0.688,0.70048,213397.20386402437,304644.24946326
1701388800000,2023-12-01 00:00:00,EOS/USD,0.6765,0.6935,0.6741,0.69017,268685.5482408202,389303.42993874
1701302400000,2023-11-30 00:00:00,EOS/USD,0.6797,0.68331,0.67173,0.67959,127062.74355263368,186969.70754813
1701216000000,2023-11-29 00:00:00,EOS/USD,0.67614,0.68765,0.6717,0.67882,609057.2497481434,897229.38297066
1701129600000,2023-11-28 00:00:00,EOS/USD,0.6752,0.6852,0.65836,0.6769,386517.0936899909,571010.62740433
