https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BAT
1717027200000,2024-05-30 00:00:00,BAT/USD,0.24359,0.24643,0.23608,0.24306,1566.8339033681323,6446.28447037
1716940800000,2024-05-29 00:00:00,BAT/USD,0.24656,0.25063,0.24185,0.24241,238.0689653319831,982.09217991
1716854400000,2024-05-28 00:00:00,BAT/USD,0.25122,0.25122,0.24194,0.24573,10689.717491379304,43501.88211199
1716768000000,2024-05-27 00:00:00,BAT/USD,0.24343,0.2533,0.24169,0.24905,458.7889427968425,1842.15596385
1716681600000,2024-05-26 00:00:00,BAT/USD,0.2499,0.25039,0.24125,0.2427,381.909464742564,1573.58658732
1716595200000,2024-05-25 00:00:00,BAT/USD,0.24837,0.25238,0.24701,0.24954,231.3495314188662,927.10399703
1716508800000,2024-05-24 00:00:00,BAT/USD,0.24501,0.24931,0.23972,0.24725,1068.9492179586175,4323.35376323
1716422400000,2024-05-23 00:00:00,BAT/USD,0.2508,0.25464,0.23438,0.24557,4034.3168871014236,16428.3784139
1716336000000,2024-05-22 00:00:00,BAT/USD,0.25505,0.25582,0.24788,0.25165,322.35402487318447,1280.96175193
1716249600000,2024-05-21 00:00:00,BAT/USD,0.25557,0.25871,0.2453,0.25303,4608.94515537132,18215.014644
1716163200000,2024-05-20 00:00:00,BAT/USD,0.23485,0.25551,0.23157,0.25551,683.9035747802695,2676.62155994
1716076800000,2024-05-19 00:00:00,BAT/USD,0.24398,0.24633,0.23584,0.23597,410.16260433792775,1738.19809441
1715990400000,2024-05-18 00:00:00,BAT/USD,0.24608,0.2479,0.24254,0.24554,321.90410724805196,1311.0047538
1715904000000,2024-05-17 00:00:00,BAT/USD,0.23853,0.24748,0.23647,0.24501,369.3478787414238,1507.48083238
1715817600000,2024-05-16 00:00:00,BAT/USD,0.23581,0.23996,0.23257,0.23935,1644.693312342312,6871.49911152
1715731200000,2024-05-15 00:00:00,BAT/USD,0.2235,0.23669,0.22071,0.23478,453.2277142291626,1930.43578767
1715644800000,2024-05-14 00:00:00,BAT/USD,0.23078,0.23732,0.22247,0.22256,2572.2036408541826,11557.34921304
1715558400000,2024-05-13 00:00:00,BAT/USD,0.22749,0.23438,0.2195,0.23026,715.3865081445572,3106.86401522
1715472000000,2024-05-12 00:00:00,BAT/USD,0.23189,0.2325,0.22553,0.22699,17374.59053168643,76543.41835184999
1715385600000,2024-05-11 00:00:00,BAT/USD,0.23649,0.23948,0.23063,0.231,809.34490044177,3503.65757767
1715299200000,2024-05-10 00:00:00,BAT/USD,0.24818,0.25193,0.23603,0.23749,435.3324578623625,1833.05595125
1715212800000,2024-05-09 00:00:00,BAT/USD,0.24336,0.24869,0.23732,0.24711,242.9080815592209,982.9957571900001
1715126400000,2024-05-08 00:00:00,BAT/USD,0.24177,0.24754,0.23842,0.24243,1593.8062268740548,6574.29454636
1715040000000,2024-05-07 00:00:00,BAT/USD,0.2445,0.24658,0.24024,0.24213,920.9018217112414,3803.33631401
1714953600000,2024-05-06 00:00:00,BAT/USD,0.24982,0.25555,0.24325,0.24327,1096.7965721318042,4508.55663309
1714867200000,2024-05-05 00:00:00,BAT/USD,0.24869,0.25345,0.24454,0.24877,246.31900043856427,990.14752759
1714780800000,2024-05-04 00:00:00,BAT/USD,0.24963,0.2524,0.24723,0.24796,363.8424664240104,1467.34338774
1714694400000,2024-05-03 00:00:00,BAT/USD,0.24262,0.2524,0.23931,0.25116,306.9774782363016,1222.23872526
1714608000000,2024-05-02 00:00:00,BAT/USD,0.23931,0.24877,0.2325,0.24205,3215.1291400938867,13282.91320014
1714521600000,2024-05-01 00:00:00,BAT/USD,0.23946,0.23992,0.22309,0.23936,3460.3180986727934,14456.54285876
1714435200000,2024-04-30 00:00:00,BAT/USD,0.2483,0.25184,0.22949,0.23883,1056.7005338130841,4424.48827121
1714348800000,2024-04-29 00:00:00,BAT/USD,0.25533,0.25803,0.24506,0.2488,1619.068552573552,6507.51025954
1714262400000,2024-04-28 00:00:00,BAT/USD,0.25906,0.2632,0.25434,0.25434,534.0006500573197,2099.55433694
1714176000000,2024-04-27 00:00:00,BAT/USD,0.25975,0.26,0.24934,0.25975,436.19266365826746,1679.27878213
1714089600000,2024-04-26 00:00:00,BAT/USD,0.26075,0.26196,0.25304,0.25886,541.0833644084988,2090.25482658
1714003200000,2024-04-25 00:00:00,BAT/USD,0.26466,0.26593,0.25234,0.26026,451.24009483833277,1733.80502128
1713916800000,2024-04-24 00:00:00,BAT/USD,0.27472,0.28319,0.26196,0.26487,1376.9231525703487,5198.48662578
1713830400000,2024-04-23 00:00:00,BAT/USD,0.26849,0.27522,0.26454,0.27522,16253.368681923906,59055.91411207
1713744000000,2024-04-22 00:00:00,BAT/USD,0.2627,0.26998,0.2609,0.26833,1055.7291779392767,3934.44332702
1713657600000,2024-04-21 00:00:00,BAT/USD,0.26535,0.26849,0.25734,0.26073,586.8959631837408,2250.97212896
1713571200000,2024-04-20 00:00:00,BAT/USD,0.24766,0.26723,0.2456,0.26703,791.0641761136326,2962.45431642
1713484800000,2024-04-19 00:00:00,BAT/USD,0.24299,0.25269,0.22788,0.24685,2035.8186681570996,8247.18925727
1713398400000,2024-04-18 00:00:00,BAT/USD,0.23631,0.24625,0.23224,0.24436,610.5408956890864,2498.53042924
1713312000000,2024-04-17 00:00:00,BAT/USD,0.2413,0.24654,0.229,0.2373,1503.536617241022,6336.01608614
1713225600000,2024-04-16 00:00:00,BAT/USD,0.24637,0.25,0.23274,0.24304,14382.059355688896,59175.688593189996
1713139200000,2024-04-15 00:00:00,BAT/USD,0.25887,0.27451,0.24325,0.24775,3194.149750964185,12892.63269814
