https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETC
1715126400000,2024-05-08 00:00:00,ETC/USD,27.183,29.466,26.663,27.197,46673.091697182295,1716.1117659
1715040000000,2024-05-07 00:00:00,ETC/USD,27.116,27.89,26.83,27.21,45666.237907875,1678.2887875
1714953600000,2024-05-06 00:00:00,ETC/USD,27.786,29.0,26.993,27.035,50730.5918056495,1876.4783357
1714867200000,2024-05-05 00:00:00,ETC/USD,27.039,27.886,26.479,27.708,18131.94373153572,654.39381159
1714780800000,2024-05-04 00:00:00,ETC/USD,27.037,27.592,26.821,26.992,28859.02888465856,1069.16971268
1714694400000,2024-05-03 00:00:00,ETC/USD,25.759,27.4,25.538,26.94,79028.42385987542,2933.49754491
1714608000000,2024-05-02 00:00:00,ETC/USD,25.499,25.954,24.839,25.716,84288.72289348705,3277.67626744
1714521600000,2024-05-01 00:00:00,ETC/USD,25.455,25.684,24.035,25.57,166987.1754291702,6530.58957486
1714435200000,2024-04-30 00:00:00,ETC/USD,27.583,28.0,24.872,25.514,300312.03886109206,11770.48047586
1714348800000,2024-04-29 00:00:00,ETC/USD,28.031,28.529,26.903,27.662,22081.90551486344,798.27581212
1714262400000,2024-04-28 00:00:00,ETC/USD,27.918,30.0,27.796,28.031,118103.07684866556,4213.30230276
1714176000000,2024-04-27 00:00:00,ETC/USD,27.189,28.302,26.143,27.852,75276.09888284112,2702.71789756
1714089600000,2024-04-26 00:00:00,ETC/USD,26.453,27.994,26.052,27.106,27139.593247537043,1001.23932884
1714003200000,2024-04-25 00:00:00,ETC/USD,26.297,26.921,25.853,26.485,14772.9681511152,557.78622432
1713916800000,2024-04-24 00:00:00,ETC/USD,28.071,28.482,26.093,26.373,29607.652540979758,1122.65015512
1713830400000,2024-04-23 00:00:00,ETC/USD,28.347,28.524,27.818,28.189,13364.7998053388,474.1140092
1713744000000,2024-04-22 00:00:00,ETC/USD,27.516,28.606,27.427,28.386,62801.72043603696,2212.41881336
1713657600000,2024-04-21 00:00:00,ETC/USD,27.786,28.306,27.028,27.483,26420.474251942862,961.33880042
1713571200000,2024-04-20 00:00:00,ETC/USD,26.054,28.188,25.808,27.889,55067.561128491965,1974.52619773
1713484800000,2024-04-19 00:00:00,ETC/USD,26.047,26.533,24.14,26.175,54573.703841243245,2084.95525659
1713398400000,2024-04-18 00:00:00,ETC/USD,25.381,26.399,25.01,26.152,9817.13168649472,375.38741536
1713312000000,2024-04-17 00:00:00,ETC/USD,26.193,26.643,24.716,25.432,20251.8514718388,796.31375715
